Created as New Dataset,EVA (40% vinyl acetate) Sigma
cm-1,%T
4000.00,99.85
3999.00,99.84
3998.00,99.84
3997.00,99.85
3996.00,99.85
3995.00,99.85
3994.00,99.85
3993.00,99.85
3992.00,99.85
3991.00,99.84
3990.00,99.84
3989.00,99.84
3988.00,99.84
3987.00,99.84
3986.00,99.84
3985.00,99.84
3984.00,99.84
3983.00,99.84
3982.00,99.84
3981.00,99.84
3980.00,99.84
3979.00,99.84
3978.00,99.84
3977.00,99.84
3976.00,99.84
3975.00,99.84
3974.00,99.84
3973.00,99.85
3972.00,99.85
3971.00,99.85
3970.00,99.85
3969.00,99.85
3968.00,99.85
3967.00,99.85
3966.00,99.85
3965.00,99.85
3964.00,99.85
3963.00,99.85
3962.00,99.85
3961.00,99.85
3960.00,99.85
3959.00,99.85
3958.00,99.85
3957.00,99.86
3956.00,99.86
3955.00,99.86
3954.00,99.86
3953.00,99.86
3952.00,99.86
3951.00,99.86
3950.00,99.86
3949.00,99.86
3948.00,99.86
3947.00,99.86
3946.00,99.86
3945.00,99.86
3944.00,99.86
3943.00,99.86
3942.00,99.86
3941.00,99.86
3940.00,99.86
3939.00,99.86
3938.00,99.86
3937.00,99.86
3936.00,99.86
3935.00,99.86
3934.00,99.86
3933.00,99.86
3932.00,99.86
3931.00,99.87
3930.00,99.86
3929.00,99.86
3928.00,99.86
3927.00,99.86
3926.00,99.86
3925.00,99.86
3924.00,99.87
3923.00,99.86
3922.00,99.86
3921.00,99.86
3920.00,99.86
3919.00,99.86
3918.00,99.86
3917.00,99.87
3916.00,99.87
3915.00,99.87
3914.00,99.87
3913.00,99.87
3912.00,99.88
3911.00,99.87
3910.00,99.87
3909.00,99.87
3908.00,99.87
3907.00,99.86
3906.00,99.86
3905.00,99.86
3904.00,99.86
3903.00,99.86
3902.00,99.86
3901.00,99.86
3900.00,99.86
3899.00,99.86
3898.00,99.86
3897.00,99.86
3896.00,99.87
3895.00,99.87
3894.00,99.87
3893.00,99.87
3892.00,99.87
3891.00,99.87
3890.00,99.87
3889.00,99.87
3888.00,99.86
3887.00,99.86
3886.00,99.86
3885.00,99.86
3884.00,99.86
3883.00,99.86
3882.00,99.86
3881.00,99.87
3880.00,99.87
3879.00,99.87
3878.00,99.87
3877.00,99.86
3876.00,99.86
3875.00,99.87
3874.00,99.87
3873.00,99.87
3872.00,99.87
3871.00,99.87
3870.00,99.87
3869.00,99.87
3868.00,99.87
3867.00,99.87
3866.00,99.87
3865.00,99.87
3864.00,99.87
3863.00,99.87
3862.00,99.87
3861.00,99.87
3860.00,99.87
3859.00,99.87
3858.00,99.87
3857.00,99.87
3856.00,99.87
3855.00,99.87
3854.00,99.88
3853.00,99.88
3852.00,99.88
3851.00,99.87
3850.00,99.87
3849.00,99.87
3848.00,99.87
3847.00,99.87
3846.00,99.87
3845.00,99.87
3844.00,99.87
3843.00,99.87
