Created as New Dataset,EVOH (29mol%) Soarnol
cm-1,%T
4000.00,98.00
3999.00,98.00
3998.00,98.00
3997.00,98.00
3996.00,98.01
3995.00,98.01
3994.00,98.01
3993.00,98.01
3992.00,98.01
3991.00,98.01
3990.00,98.01
3989.00,98.02
3988.00,98.02
3987.00,98.02
3986.00,98.02
3985.00,98.02
3984.00,98.01
3983.00,98.01
3982.00,98.01
3981.00,98.01
3980.00,98.01
3979.00,98.02
3978.00,98.02
3977.00,98.02
3976.00,98.02
3975.00,98.02
3974.00,98.02
3973.00,98.02
3972.00,98.02
3971.00,98.02
3970.00,98.02
3969.00,98.02
3968.00,98.02
3967.00,98.02
3966.00,98.01
3965.00,98.01
3964.00,98.01
3963.00,98.02
3962.00,98.02
3961.00,98.02
3960.00,98.02
3959.00,98.02
3958.00,98.02
3957.00,98.02
3956.00,98.03
3955.00,98.03
3954.00,98.03
3953.00,98.03
3952.00,98.03
3951.00,98.03
3950.00,98.02
3949.00,98.02
3948.00,98.02
3947.00,98.03
3946.00,98.03
3945.00,98.03
3944.00,98.03
3943.00,98.03
3942.00,98.03
3941.00,98.03
3940.00,98.03
3939.00,98.03
3938.00,98.03
3937.00,98.03
3936.00,98.03
3935.00,98.03
3934.00,98.03
3933.00,98.03
3932.00,98.03
3931.00,98.03
3930.00,98.03
3929.00,98.03
3928.00,98.03
3927.00,98.03
3926.00,98.03
3925.00,98.03
3924.00,98.04
3923.00,98.04
3922.00,98.04
3921.00,98.04
3920.00,98.04
3919.00,98.03
3918.00,98.03
3917.00,98.03
3916.00,98.04
3915.00,98.04
3914.00,98.04
3913.00,98.04
3912.00,98.04
3911.00,98.04
3910.00,98.03
3909.00,98.04
3908.00,98.04
3907.00,98.04
3906.00,98.04
3905.00,98.05
3904.00,98.05
3903.00,98.05
3902.00,98.04
3901.00,98.04
3900.00,98.04
3899.00,98.04
3898.00,98.04
3897.00,98.04
3896.00,98.04
3895.00,98.04
3894.00,98.04
3893.00,98.04
3892.00,98.03
3891.00,98.03
3890.00,98.04
3889.00,98.04
3888.00,98.04
3887.00,98.04
3886.00,98.04
3885.00,98.05
3884.00,98.05
3883.00,98.04
3882.00,98.04
3881.00,98.04
3880.00,98.04
3879.00,98.04
3878.00,98.05
3877.00,98.05
3876.00,98.04
3875.00,98.05
3874.00,98.05
3873.00,98.05
3872.00,98.04
3871.00,98.03
3870.00,98.03
3869.00,98.04
3868.00,98.04
3867.00,98.04
3866.00,98.04
3865.00,98.04
3864.00,98.04
3863.00,98.05
3862.00,98.05
3861.00,98.05
3860.00,98.05
