Created as New Dataset,EVOH (38mol% ethylene) Soarnol
cm-1,%T
4000.00,98.45
3999.00,98.46
3998.00,98.46
3997.00,98.46
3996.00,98.46
3995.00,98.47
3994.00,98.47
3993.00,98.47
3992.00,98.47
3991.00,98.47
3990.00,98.48
3989.00,98.48
3988.00,98.48
3987.00,98.47
3986.00,98.47
3985.00,98.46
3984.00,98.46
3983.00,98.46
3982.00,98.46
3981.00,98.46
3980.00,98.47
3979.00,98.47
3978.00,98.47
3977.00,98.47
3976.00,98.47
3975.00,98.47
3974.00,98.47
3973.00,98.47
3972.00,98.47
3971.00,98.47
3970.00,98.47
3969.00,98.47
3968.00,98.47
3967.00,98.47
3966.00,98.47
3965.00,98.47
3964.00,98.47
3963.00,98.47
3962.00,98.47
3961.00,98.48
3960.00,98.48
3959.00,98.48
3958.00,98.47
3957.00,98.47
3956.00,98.47
3955.00,98.48
3954.00,98.48
3953.00,98.48
3952.00,98.47
3951.00,98.47
3950.00,98.47
3949.00,98.47
3948.00,98.47
3947.00,98.47
3946.00,98.48
3945.00,98.48
3944.00,98.49
3943.00,98.49
3942.00,98.49
3941.00,98.48
3940.00,98.48
3939.00,98.48
3938.00,98.48
3937.00,98.48
3936.00,98.48
3935.00,98.48
3934.00,98.48
3933.00,98.48
3932.00,98.48
3931.00,98.48
3930.00,98.48
3929.00,98.48
3928.00,98.48
3927.00,98.48
3926.00,98.48
3925.00,98.48
3924.00,98.48
3923.00,98.48
3922.00,98.48
3921.00,98.48
3920.00,98.48
3919.00,98.48
3918.00,98.48
3917.00,98.48
3916.00,98.48
3915.00,98.48
3914.00,98.48
3913.00,98.48
3912.00,98.48
3911.00,98.49
3910.00,98.48
3909.00,98.48
3908.00,98.48
3907.00,98.47
3906.00,98.47
3905.00,98.47
3904.00,98.47
3903.00,98.47
3902.00,98.47
3901.00,98.47
3900.00,98.47
3899.00,98.47
3898.00,98.47
3897.00,98.47
3896.00,98.47
3895.00,98.47
3894.00,98.47
3893.00,98.47
3892.00,98.47
