Created as New Dataset,PBT (polybutylene) GF
cm-1,%T
4000.00,98.37
3999.00,98.38
3998.00,98.38
3997.00,98.38
3996.00,98.38
3995.00,98.38
3994.00,98.38
3993.00,98.38
3992.00,98.39
3991.00,98.39
3990.00,98.39
3989.00,98.39
3988.00,98.39
3987.00,98.39
3986.00,98.39
3985.00,98.39
3984.00,98.39
3983.00,98.39
3982.00,98.39
3981.00,98.39
3980.00,98.39
3979.00,98.39
3978.00,98.39
3977.00,98.39
3976.00,98.39
3975.00,98.39
3974.00,98.38
3973.00,98.38
3972.00,98.38
3971.00,98.38
3970.00,98.39
3969.00,98.39
3968.00,98.39
3967.00,98.40
3966.00,98.40
3965.00,98.40
3964.00,98.39
3963.00,98.39
3962.00,98.39
3961.00,98.38
3960.00,98.38
3959.00,98.38
3958.00,98.38
3957.00,98.39
3956.00,98.39
3955.00,98.39
3954.00,98.39
3953.00,98.39
3952.00,98.39
3951.00,98.38
3950.00,98.38
3949.00,98.38
3948.00,98.38
3947.00,98.39
3946.00,98.39
3945.00,98.39
3944.00,98.38
3943.00,98.38
3942.00,98.38
3941.00,98.38
3940.00,98.38
3939.00,98.38
3938.00,98.39
3937.00,98.39
3936.00,98.39
3935.00,98.39
3934.00,98.39
3933.00,98.39
3932.00,98.39
3931.00,98.38
3930.00,98.38
3929.00,98.38
3928.00,98.38
3927.00,98.38
3926.00,98.39
3925.00,98.38
3924.00,98.38
3923.00,98.38
3922.00,98.39
3921.00,98.39
3920.00,98.39
3919.00,98.39
3918.00,98.39
3917.00,98.39
3916.00,98.39
3915.00,98.39
3914.00,98.39
3913.00,98.39
3912.00,98.40
3911.00,98.40
3910.00,98.40
3909.00,98.40
3908.00,98.40
3907.00,98.40
3906.00,98.40
3905.00,98.41
3904.00,98.40
3903.00,98.40
3902.00,98.41
3901.00,98.41
3900.00,98.41
3899.00,98.41
3898.00,98.41
3897.00,98.41
3896.00,98.41
3895.00,98.41
3894.00,98.41
3893.00,98.42
3892.00,98.42
3891.00,98.42
3890.00,98.42
3889.00,98.43
3888.00,98.43
3887.00,98.43
3886.00,98.43
3885.00,98.43
3884.00,98.43
3883.00,98.43
3882.00,98.43
3881.00,98.43
3880.00,98.43
3879.00,98.43
3878.00,98.43
3877.00,98.43
3876.00,98.42
3875.00,98.42
3874.00,98.42
3873.00,98.42
3872.00,98.43
3871.00,98.43
3870.00,98.43
3869.00,98.43
3868.00,98.44
3867.00,98.44
3866.00,98.44
3865.00,98.44
3864.00,98.43
3863.00,98.43
3862.00,98.43
3861.00,98.43
3860.00,98.43
3859.00,98.43
3858.00,98.44
3857.00,98.44
3856.00,98.45
3855.00,98.46
3854.00,98.45
3853.00,98.44
3852.00,98.43
3851.00,98.44
3850.00,98.44
3849.00,98.44
3848.00,98.44
3847.00,98.44
3846.00,98.44
3845.00,98.45
3844.00,98.45
3843.00,98.44
3842.00,98.44
3841.00,98.44
3840.00,98.44
3839.00,98.44
3838.00,98.44
3837.00,98.44
3836.00,98.44
3835.00,98.45
3834.00,98.45
3833.00,98.45
3832.00,98.45
3831.00,98.45
3830.00,98.44
3829.00,98.44
3828.00,98.44
3827.00,98.44
3826.00,98.44
3825.00,98.44
3824.00,98.45
3823.00,98.45
3822.00,98.44
3821.00,98.44
3820.00,98.44
3819.00,98.45
3818.00,98.45
3817.00,98.45
3816.00,98.45
3815.00,98.44
3814.00,98.45
3813.00,98.45
3812.00,98.45
3811.00,98.44
3810.00,98.44
3809.00,98.45
3808.00,98.44
3807.00,98.44
3806.00,98.43
3805.00,98.43
3804.00,98.44
