"wavenumber","intensity"
674.9918,-0.06815881
678.8489,-0.04856343
682.706,-0.04856343
686.5631,-0.04103647
690.4202,-0.03804199
694.2773,-0.03940979
698.1344,-0.03977641
701.9915,-0.04293583
705.8486,-0.04689831
709.7057,-0.0496012
713.5628,-0.05038204
717.4199,-0.05577083
721.277,-0.05760435
725.1341,-0.05319921
728.9911,-0.04744235
732.8483,-0.05382689
736.7054,-0.07051876
740.5624,-0.09038927
744.4196,-0.106542
748.2767,-0.1160188
752.1337,-0.1214807
755.9908,-0.1301438
759.848,-0.1403296
763.705,-0.1509482
767.5621,-0.1608074
771.4193,-0.1712577
775.2763,-0.1796603
779.1334,-0.1870211
782.9905,-0.1953378
786.8476,-0.2041394
790.7047,-0.2109021
794.5618,-0.2144561
798.4189,-0.2209305
802.276,-0.2352148
806.1331,-0.2537263
809.9902,-0.2694668
813.8473,-0.2794504
817.7043,-0.2869528
821.5615,-0.2936384
825.4186,-0.2973855
829.2756,-0.2998717
833.1328,-0.3015684
836.9899,-0.3025382
840.8469,-0.3043841
844.704,-0.3073564
848.5612,-0.3099856
852.4182,-0.3135478
856.2753,-0.3173651
860.1324,-0.3175711
863.9895,-0.3154936
867.8466,-0.3139559
871.7037,-0.3109223
875.5608,-0.30654
879.4179,-0.3035611
883.275,-0.3000794
887.1321,-0.2959667
890.9892,-0.2928284
894.8463,-0.2862976
898.7034,-0.2740653
902.5605,-0.256569
906.4176,-0.2413645
910.2747,-0.2365678
914.1318,-0.2345848
917.9889,-0.2267647
921.8459,-0.212308
925.7031,-0.1878728
929.5602,-0.1510557
933.4172,-0.1186431
937.2744,-0.124432
941.1315,-0.1666513
944.9885,-0.2111779
948.8456,-0.2395314
952.7028,-0.255976
956.5598,-0.2671645
960.4169,-0.2746582
964.274,-0.2783885
968.1311,-0.2787606
971.9882,-0.2769916
975.8453,-0.2732371
979.7024,-0.2642936
983.5595,-0.2526631
987.4166,-0.2413497
991.2737,-0.2333471
995.1308,-0.2261765
998.9879,-0.218284
1002.845,-0.2113937
1006.702,-0.2060362
1010.559,-0.2020645
1014.416,-0.1999369
1018.273,-0.2011035
1022.13,-0.2023638
1025.988,-0.2003151
1029.845,-0.1949861
1033.702,-0.1884675
1037.559,-0.1830613
1041.416,-0.1819938
1045.273,-0.188057
1049.13,-0.1983165
1052.987,-0.2065273
1056.844,-0.2102979
1060.701,-0.2119242
1064.559,-0.2150849
1068.416,-0.2241885
1072.273,-0.2355986
1076.13,-0.2423838
1079.987,-0.244085
1083.844,-0.2432255
1087.701,-0.2403719
1091.558,-0.2384682
1095.415,-0.2390663
1099.272,-0.2402976
1103.13,-0.2426103
1106.987,-0.2433588
1110.844,-0.2428192
1114.701,-0.2429468
1118.558,-0.2418642
1122.415,-0.2382951
1126.272,-0.2316364
1130.129,-0.2178969
1133.986,-0.1951649
1137.843,-0.1724292
1141.7,-0.1631494
1145.558,-0.1641887
1149.415,-0.171846
1153.272,-0.1865818
1157.129,-0.2024064
1160.986,-0.2097016
1164.843,-0.2061132
1168.7,-0.1935617
1172.557,-0.1726676
1176.414,-0.1477797
1180.271,-0.1345751
1184.129,-0.1357728
1187.986,-0.1364613
1191.843,-0.1276747
1195.7,-0.1156089
1199.557,-0.1106802
1203.414,-0.116721
1207.271,-0.1323412
1211.128,-0.1483621
1214.985,-0.1572959
1218.842,-0.1565103
1222.699,-0.1495676
1226.557,-0.1461283
1230.414,-0.1456224
1234.271,-0.1436701
1238.128,-0.1414219
1241.985,-0.1389733
1245.842,-0.1363729
1249.699,-0.1341657
1253.556,-0.1318291
1257.413,-0.1288202
1261.271,-0.1257105
1265.128,-0.123126
1268.985,-0.1214136
1272.842,-0.1205945
1276.699,-0.1207756
1280.556,-0.1221969
1284.413,-0.1255683
1288.27,-0.1305131
1292.127,-0.1355221
1295.984,-0.1399523
1299.841,-0.143143
1303.698,-0.1448355
1307.556,-0.1485334
1311.413,-0.1536186
1315.27,-0.1581999
1319.127,-0.1604616
1322.984,-0.1591571
1326.841,-0.1561318
1330.698,-0.1554283
1334.555,-0.15667
1338.412,-0.1559056
1342.27,-0.1522531
1346.127,-0.1494389
1349.984,-0.1454127
1353.841,-0.1401078
1357.698,-0.1364656
1361.555,-0.133367
1365.412,-0.1289852
1369.269,-0.1269242
1373.126,-0.1287625
1376.983,-0.1322517
1380.84,-0.1355113
1384.698,-0.1385376
1388.555,-0.1428187
1392.412,-0.1497163
1396.269,-0.1589057
1400.126,-0.1656443
1403.983,-0.165475
1407.84,-0.1581016
1411.697,-0.1461952
1415.554,-0.1372271
1419.411,-0.1360421
1423.269,-0.1387233
1427.125,-0.1417221
1430.983,-0.1427628
1434.84,-0.1410216
1438.697,-0.1404955
1442.554,-0.1423516
1446.411,-0.1436941
1450.268,-0.1436785
1454.125,-0.1439504
1457.982,-0.1432087
1461.839,-0.1399714
1465.697,-0.1381222
1469.554,-0.1386415
1473.411,-0.1396347
1477.268,-0.1433077
1481.125,-0.1509832
1484.982,-0.1609592
1488.839,-0.1685288
1492.696,-0.1694613
1496.553,-0.1662868
1500.41,-0.1623562
1504.268,-0.1609737
1508.125,-0.1547542
1511.982,-0.1468861
1515.839,-0.1450144
1519.696,-0.1455411
1523.553,-0.145484
1527.41,-0.1422014
1531.267,-0.1414398
1535.124,-0.1436231
1538.981,-0.1481325
1542.838,-0.1498074
1546.696,-0.1479073
1550.553,-0.1475935
1554.41,-0.1484523
1558.267,-0.1494655
1562.124,-0.146473
1565.981,-0.1449041
1569.838,-0.1452436
1573.695,-0.1476391
1577.552,-0.1508772
1581.409,-0.1535645
1585.267,-0.1576116
1589.124,-0.161745
1592.981,-0.1642252
1596.838,-0.1636011
1600.695,-0.1604728
1604.552,-0.1563546
1608.409,-0.152633
1612.266,-0.1503542
1616.123,-0.1486903
1619.98,-0.1470853
1623.837,-0.1479795
1627.695,-0.1490223
1631.552,-0.1499968
1635.409,-0.1520471
1639.266,-0.1540451
1643.123,-0.1559976
1646.98,-0.1592597
1650.837,-0.162123
1654.694,-0.163169
1658.551,-0.1623515
1662.408,-0.1623247
1666.266,-0.1626258
1670.123,-0.1647861
1673.98,-0.1710546
1677.837,-0.1852919
1681.694,-0.2136537
1685.551,-0.2706785
1689.408,-0.3136906
1693.265,-0.3422931
1697.122,-0.3663455
1700.979,-0.3867944
1704.837,-0.396812
1708.694,-0.4053882
1712.551,-0.4118572
1716.408,-0.4205109
1720.265,-0.4275687
1724.122,-0.432581
1727.979,-0.4361237
1731.836,-0.4393263
1735.693,-0.4403871
1739.55,-0.4437211
1743.407,-0.4505871
1747.265,-0.4615077
1751.122,-0.4730464
1754.979,-0.4816002
1758.836,-0.4882184
1762.693,-0.4949298
1766.55,-0.4998013
1770.407,-0.5045713
1774.264,-0.5072661
1778.121,-0.5094486
1781.978,-0.5116817
1785.836,-0.5138031
1789.693,-0.5149816
1793.55,-0.5166441
1797.407,-0.5189596
1801.264,-0.5205858
1805.121,-0.5209414
1808.978,-0.521903
1812.835,-0.523138
1816.692,-0.5240772
1820.549,-0.5246122
1824.406,-0.52551
1828.264,-0.5262968
1832.121,-0.5266796
1835.978,-0.526657
1839.835,-0.5271451
1843.692,-0.5274224
1847.549,-0.5271581
1851.406,-0.5265903
1855.263,-0.5262714
1859.12,-0.5258519
1862.977,-0.5256945
1866.835,-0.5247264
1870.692,-0.5232209
1874.549,-0.5228481
1878.406,-0.5228581
1882.263,-0.5228022
1886.12,-0.5236095
1889.977,-0.5243272
1893.834,-0.5252424
1897.691,-0.5262312
1901.548,-0.5269865
1905.406,-0.5279526
1909.263,-0.5293286
1913.12,-0.5308543
1916.977,-0.5312541
1920.834,-0.5307955
1924.691,-0.5307145
1928.548,-0.5304195
1932.405,-0.5301859
1936.262,-0.5296351
1940.119,-0.5297139
1943.976,-0.5295951
1947.834,-0.5289623
1951.691,-0.5281321
1955.548,-0.5276969
1959.405,-0.5271664
1963.262,-0.5268514
1967.119,-0.5269964
1970.976,-0.5266442
1974.833,-0.5261352
1978.69,-0.5263977
1982.547,-0.5269548
1986.405,-0.5270757
1990.262,-0.5263821
1994.119,-0.5261678
1997.976,-0.5260072
2001.833,-0.5253693
2005.69,-0.5249575
2009.547,-0.5252405
2013.404,-0.5258896
2017.261,-0.5259944
2021.118,-0.5251096
2024.975,-0.5240456
2028.833,-0.5233509
2032.69,-0.5231122
2036.547,-0.5227143
2040.404,-0.5223007
2044.261,-0.5225596
2048.118,-0.5228818
2051.975,-0.5226879
2055.832,-0.5223658
2059.689,-0.5228709
2063.546,-0.5241218
2067.404,-0.5241532
2071.261,-0.52302
2075.118,-0.5225235
2078.975,-0.5226967
2082.832,-0.5223691
2086.689,-0.5215144
2090.546,-0.5209388
2094.403,-0.5207326
2098.26,-0.5205383
2102.117,-0.5210337
2105.975,-0.5217545
2109.832,-0.5219755
2113.689,-0.5223793
2117.546,-0.5228832
2121.403,-0.5225952
2125.26,-0.5220697
2129.117,-0.5214657
2132.974,-0.5201731
2136.831,-0.5198905
2140.688,-0.5201051
2144.545,-0.5193427
2148.403,-0.5183778
2152.26,-0.5184247
2156.117,-0.5178154
2159.974,-0.5177926
2163.831,-0.5192168
2167.688,-0.5201298
2171.545,-0.5205721
2175.402,-0.5205649
2179.259,-0.5201014
2183.116,-0.5200633
2186.974,-0.5199667
2190.831,-0.5203261
2194.688,-0.5208871
2198.545,-0.5206116
2202.402,-0.5211405
2206.259,-0.5226796
2210.116,-0.5230284
2213.973,-0.5224401
2217.83,-0.5219188
2221.688,-0.5219324
2225.544,-0.5224226
2229.402,-0.5231492
2233.259,-0.5233216
2237.116,-0.5231763
2240.973,-0.5232036
2244.83,-0.523129
2248.687,-0.5235738
2252.544,-0.5238309
2256.401,-0.5240369
2260.258,-0.5243921
2264.115,-0.5242051
2267.973,-0.5246347
2271.83,-0.5247853
2275.687,-0.5248466
2279.544,-0.5253553
2283.401,-0.5253587
2287.258,-0.5245935
2291.115,-0.5241054
2294.972,-0.5238336
2298.829,-0.5233748
2302.687,-0.5229829
2306.543,-0.5231827
2310.401,-0.523244
2314.258,-0.5239158
2318.115,-0.5236449
2321.972,-0.5219561
2325.829,-0.5216478
2329.686,-0.5238026
2333.543,-0.5247716
2337.4,-0.5239443
2341.257,-0.5238824
2345.115,-0.5246637
2348.972,-0.524462
2352.829,-0.5244547
2356.686,-0.5237286
2360.543,-0.5234828
2364.4,-0.5234159
2368.257,-0.5229367
2372.114,-0.521792
2375.971,-0.5220012
2379.828,-0.5221454
2383.686,-0.5215073
2387.542,-0.5215682
2391.4,-0.5221045
2395.257,-0.5231365
2399.114,-0.5237614
2402.971,-0.5236903
2406.828,-0.5241823
2410.685,-0.5237119
2414.542,-0.5228929
2418.399,-0.5228398
2422.256,-0.5229269
2426.114,-0.5226028
2429.971,-0.5226723
2433.828,-0.5224307
2437.685,-0.5216829
2441.542,-0.5216918
2445.399,-0.5213917
2449.256,-0.520515
2453.113,-0.5199965
2456.97,-0.5186243
2460.827,-0.5170593
2464.685,-0.5158412
2468.542,-0.5142999
2472.399,-0.5126444
2476.256,-0.511873
2480.113,-0.5113685
2483.97,-0.511301
2487.827,-0.5113407
2491.684,-0.5118843
2495.541,-0.5128793
2499.398,-0.5132376
2503.255,-0.5125046
2507.113,-0.5115506
2510.97,-0.5105023
2514.827,-0.5104923
2518.684,-0.5109523
2522.541,-0.5100434
2526.398,-0.5087013
2530.255,-0.5077912
2534.112,-0.5066003
2537.969,-0.5051838
2541.826,-0.5048082
2545.684,-0.5043842
2549.541,-0.5031024
2553.398,-0.503263
2557.255,-0.5024523
2561.112,-0.5002184
2564.969,-0.4980676
2568.826,-0.4957647
2572.683,-0.4930585
2576.54,-0.4902086
2580.397,-0.4877747
2584.254,-0.4851947
2588.112,-0.4830669
2591.969,-0.4823671
2595.826,-0.4826722
2599.683,-0.4838035
2603.54,-0.4849973
2607.397,-0.4865115
2611.254,-0.4878393
2615.111,-0.4890398
2618.968,-0.4899879
2622.825,-0.4907142
2626.683,-0.4909809
2630.54,-0.4908348
2634.397,-0.4902698
2638.254,-0.489821
2642.111,-0.4886692
2645.968,-0.486495
2649.825,-0.483779
2653.682,-0.4808934
2657.539,-0.4788415
2661.396,-0.4776335
2665.253,-0.4766077
2669.111,-0.4748082
2672.968,-0.4720342
2676.825,-0.4695341
2680.682,-0.4680367
2684.539,-0.4671127
2688.396,-0.4661486
2692.253,-0.4646611
2696.11,-0.4634072
2699.967,-0.4628676
2703.824,-0.4620593
2707.682,-0.4609284
2711.539,-0.4594482
2715.396,-0.4579423
2719.253,-0.4555648
2723.11,-0.4505803
2726.967,-0.4446446
2730.824,-0.4388379
2734.681,-0.4327082
2738.538,-0.4274916
2742.396,-0.4238633
2746.252,-0.4213004
2750.109,-0.4201961
2753.967,-0.4191274
2757.824,-0.4165738
2761.681,-0.4143999
2765.538,-0.4121408
2769.395,-0.4089819
2773.252,-0.4072437
2777.109,-0.4060388
2780.966,-0.4044648
2784.823,-0.4021735
2788.681,-0.3975325
2792.538,-0.3919367
2796.395,-0.3858965
2800.252,-0.3798815
2804.109,-0.3735525
2807.966,-0.3675663
2811.823,-0.3616673
2815.68,-0.3535542
2819.537,-0.3443716
2823.395,-0.3359927
2827.251,-0.3294839
2831.108,-0.3238381
2834.966,-0.3143245
2838.823,-0.2977664
2842.68,-0.2754938
2846.537,-0.2530049
2850.394,-0.2376043
2854.251,-0.2300956
2858.108,-0.2283145
2861.965,-0.2298196
2865.822,-0.2306524
2869.68,-0.2306422
2873.537,-0.2308224
2877.394,-0.2317033
2881.251,-0.2348305
2885.108,-0.2398019
2888.965,-0.2430455
2892.822,-0.242885
2896.679,-0.2406096
2900.536,-0.2378508
2904.394,-0.2354784
2908.25,-0.2331081
2912.107,-0.2311636
2915.965,-0.2296294
2919.822,-0.2288256
2923.679,-0.2290863
2927.536,-0.2300248
2931.393,-0.2308745
2935.25,-0.2318119
2939.107,-0.231786
2942.964,-0.2317137
2946.821,-0.2324907
2950.679,-0.2334915
2954.536,-0.2354074
2958.393,-0.2374921
2962.25,-0.2402657
2966.107,-0.2467269
2969.964,-0.2580552
2973.821,-0.2756467
2977.678,-0.2958458
2981.535,-0.3151774
2985.393,-0.3339041
2989.25,-0.3498946
2993.106,-0.3611776
2996.964,-0.3677247
3000.821,-0.3715452
3004.678,-0.3736403
3008.535,-0.3739285
3012.392,-0.3722472
3016.249,-0.3694839
3020.106,-0.3660082
3023.963,-0.3613305
3027.82,-0.3548331
3031.678,-0.3466545
3035.535,-0.3364323
3039.392,-0.3233581
3043.249,-0.3097551
3047.106,-0.2962051
3050.963,-0.2842899
3054.82,-0.2762528
3058.677,-0.270448
3062.534,-0.2661105
3066.392,-0.2634835
3070.249,-0.2619303
3074.105,-0.2619976
3077.963,-0.2628863
3081.82,-0.2631149
3085.677,-0.2642939
3089.534,-0.2670557
3093.391,-0.2711785
3097.248,-0.2769401
3101.105,-0.2832668
3104.962,-0.2907495
3108.819,-0.2980125
3112.677,-0.3041201
3116.534,-0.3099962
3120.391,-0.3167332
3124.248,-0.3219414
3128.105,-0.3254582
3131.962,-0.3283378
3135.819,-0.3297331
3139.676,-0.3301075
3143.533,-0.3305483
3147.391,-0.3286803
3151.248,-0.3260084
3155.104,-0.322745
3158.962,-0.3173466
3162.819,-0.3113465
3166.676,-0.3051432
3170.533,-0.2973388
3174.39,-0.2901417
3178.247,-0.2849175
3182.104,-0.2813496
3185.961,-0.2783372
3189.818,-0.2751342
3193.676,-0.2712642
3197.533,-0.2680722
3201.39,-0.266044
3205.247,-0.2650978
3209.104,-0.2646511
3212.961,-0.2641048
3216.818,-0.2626965
3220.675,-0.2598819
3224.532,-0.2571207
3228.39,-0.2548608
3232.247,-0.2523016
3236.104,-0.2501624
3239.961,-0.2483135
3243.818,-0.2468102
3247.675,-0.245331
3251.532,-0.2449289
3255.389,-0.2446394
3259.246,-0.2436509
3263.104,-0.242845
3266.96,-0.2437823
3270.817,-0.2444535
3274.675,-0.2440202
3278.532,-0.2432789
3282.389,-0.2428368
3286.246,-0.2430208
3290.103,-0.2422632
3293.96,-0.2418966
3297.817,-0.2419265
3301.674,-0.2413895
3305.531,-0.2420169
3309.389,-0.2427814
3313.246,-0.2430328
3317.103,-0.2437564
3320.96,-0.244186
3324.817,-0.2436642
3328.674,-0.2441908
3332.531,-0.244775
3336.388,-0.2451054
3340.245,-0.2461754
3344.103,-0.2490115
3347.959,-0.2513113
3351.816,-0.252393
3355.674,-0.2546388
3359.531,-0.2594517
3363.388,-0.2650338
3367.245,-0.2695881
3371.102,-0.2739452
3374.959,-0.2788048
3378.816,-0.2834786
3382.673,-0.2887815
3386.53,-0.2950347
3390.388,-0.3000066
3394.245,-0.3036486
3398.102,-0.3083221
3401.959,-0.3124319
3405.816,-0.3150075
3409.673,-0.3180389
3413.53,-0.3222156
3417.387,-0.3256504
3421.244,-0.327421
3425.102,-0.3283443
3428.958,-0.3290451
3432.815,-0.3307453
3436.673,-0.3320655
3440.53,-0.3341619
3444.387,-0.33595
3448.244,-0.3363701
3452.101,-0.3377399
3455.958,-0.3393223
3459.815,-0.3405814
3463.672,-0.3420928
3467.529,-0.3440601
3471.387,-0.3459876
3475.244,-0.3486583
3479.101,-0.3491617
3482.958,-0.3499011
3486.815,-0.351355
3490.672,-0.352466
3494.529,-0.3538034
3498.386,-0.355108
3502.243,-0.3575744
3506.101,-0.3608563
3509.958,-0.3638477
3513.814,-0.3677689
3517.672,-0.3720579
3521.529,-0.3753666
3525.386,-0.3785192
3529.243,-0.383007
3533.1,-0.3873706
3536.957,-0.3915181
3540.814,-0.3964868
3544.671,-0.4029167
3548.528,-0.4089661
3552.386,-0.4137402
3556.243,-0.417661
3560.1,-0.4217508
3563.957,-0.4274081
3567.814,-0.4339795
3571.671,-0.4391269
3575.528,-0.4433327
3579.385,-0.4463234
3583.242,-0.4497798
3587.1,-0.4537347
3590.957,-0.4586013
3594.813,-0.4629514
3598.671,-0.4657447
3602.528,-0.4678491
3606.385,-0.4702031
3610.242,-0.4731517
3614.099,-0.475887
3617.956,-0.4736507
3621.813,-0.4737773
3625.67,-0.4794126
3629.527,-0.4843699
3633.385,-0.4884138
3637.242,-0.4918785
3641.099,-0.494067
3644.956,-0.4972002
3648.813,-0.5000416
3652.67,-0.5047687
3656.527,-0.509503
3660.384,-0.5116841
3664.241,-0.510503
3668.099,-0.5102726
3671.956,-0.5132098
3675.813,-0.5177264
3679.67,-0.5219291
3683.527,-0.5265872
3687.384,-0.5295888
3691.241,-0.5309684
3695.098,-0.5318969
3698.955,-0.5330434
3702.813,-0.5352777
3706.669,-0.5394967
3710.526,-0.5437187
3714.384,-0.5472825
3718.241,-0.5497566
3722.098,-0.5517386
3725.955,-0.5535659
3729.812,-0.5543109
3733.669,-0.5544963
3737.526,-0.556218
3741.383,-0.5591358
3745.24,-0.5595729
3749.098,-0.556347
3752.955,-0.5550923
3756.812,-0.5552759
3760.669,-0.5558662
3764.526,-0.5566229
3768.383,-0.5566293
3772.24,-0.5554885
3776.097,-0.5553659
3779.954,-0.5561888
3783.812,-0.555803
3787.668,-0.5548102
3791.525,-0.5545068
3795.383,-0.5539657
3799.24,-0.5540642
3803.097,-0.5556223
3806.954,-0.5566325
3810.811,-0.556039
3814.668,-0.5556174
3818.525,-0.5551361
3822.382,-0.5540646
3826.239,-0.5534455
3830.097,-0.5520211
3833.954,-0.5508084
3837.811,-0.5516508
3841.668,-0.5534655
3845.525,-0.5532274
3849.382,-0.5536008
3853.239,-0.5524295
3857.096,-0.5511944
3860.953,-0.5529373
3864.811,-0.5557984
3868.667,-0.5563603
3872.524,-0.5548446
3876.382,-0.5532162
3880.239,-0.552952
3884.096,-0.5530947
3887.953,-0.5514339
3891.81,-0.5495815
3895.667,-0.5496947
3899.524,-0.5503524
3903.381,-0.5504919
3907.238,-0.5513086
3911.096,-0.5516229
3914.953,-0.5500453
3918.81,-0.5498493
3922.667,-0.5504795
3926.524,-0.5490311
3930.381,-0.5492831
3934.238,-0.5495864
3938.095,-0.5479102
3941.952,-0.5464282
3945.81,-0.5451699
3949.667,-0.5460069
3953.523,-0.5465977
3957.381,-0.5448914
3961.238,-0.543088
3965.095,-0.5428243
3968.952,-0.5421389
3972.809,-0.5414249
3976.666,-0.5408705
3980.523,-0.5399263
3984.38,-0.5381206
3988.237,-0.5359792
3992.095,-0.5338728
3995.952,-0.5324261
3999.809,-0.5324102
