"wavenumber","intensity"
674.9918,0.1631915
678.8489,0.1690483
682.706,0.1745386
686.5631,0.1817295
690.4202,0.1896425
694.2773,0.1985141
698.1344,0.2086032
701.9915,0.2177443
705.8486,0.224916
709.7057,0.2327214
713.5628,0.2381892
717.4199,0.2383642
721.277,0.2383169
725.1341,0.2437847
728.9911,0.2486127
732.8483,0.251611
736.7054,0.2549194
740.5624,0.2587824
744.4196,0.2616706
748.2767,0.2660841
752.1337,0.2705484
755.9908,0.2746657
759.848,0.2786778
763.705,0.2831885
767.5621,0.2869253
771.4193,0.2908905
775.2763,0.2948908
779.1334,0.2990798
782.9905,0.3015187
786.8476,0.3033884
790.7047,0.3031048
794.5618,0.3020759
798.4189,0.3006356
802.276,0.2998348
806.1331,0.2995976
809.9902,0.3008969
813.8473,0.301927
817.7043,0.3022106
821.5615,0.3017319
825.4186,0.3029836
829.2756,0.3047261
833.1328,0.307928
836.9899,0.3111617
840.8469,0.3138002
844.704,0.3151436
848.5612,0.3175276
852.4182,0.3183598
856.2753,0.319193
860.1324,0.3215938
863.9895,0.3254531
867.8466,0.3285225
871.7037,0.3319796
875.5608,0.3345526
879.4179,0.3364563
883.275,0.3392749
887.1321,0.3430664
890.9892,0.3449045
894.8463,0.3467059
898.7034,0.3479416
902.5605,0.3487688
906.4176,0.3493403
910.2747,0.351078
914.1318,0.3529741
917.9889,0.3555771
921.8459,0.3582436
925.7031,0.3618359
929.5602,0.3652637
933.4172,0.3685996
937.2744,0.3718917
941.1315,0.3757847
944.9885,0.3775309
948.8456,0.3796217
952.7028,0.381638
956.5598,0.3830931
960.4169,0.3846771
964.274,0.387913
968.1311,0.3911634
971.9882,0.3935483
975.8453,0.395576
979.7024,0.3999501
983.5595,0.4031422
987.4166,0.4057704
991.2737,0.4076608
995.1308,0.4089581
998.9879,0.4093133
1002.845,0.408942
1006.702,0.4072311
1010.559,0.4061118
1014.416,0.4053133
1018.273,0.4041305
1022.13,0.4022804
1025.988,0.4009169
1029.845,0.3999239
1033.702,0.3990108
1037.559,0.3966784
1041.416,0.39435
1045.273,0.3921752
1049.13,0.3896958
1052.987,0.3865222
1056.844,0.382877
1060.701,0.3787562
