"wavenumber","intensity"
674.9918,0.7646148
678.8489,0.7899805
682.706,0.7905568
686.5631,0.8018805
690.4202,0.8105237
694.2773,0.8081427
698.1344,0.7966323
701.9915,0.7832499
705.8486,0.7725314
709.7057,0.7637951
713.5628,0.7581341
717.4199,0.7509038
721.277,0.7459632
725.1341,0.752245
728.9911,0.7524032
732.8483,0.7339596
736.7054,0.7026994
740.5624,0.6757916
744.4196,0.6593121
748.2767,0.6490725
752.1337,0.6401839
755.9908,0.6330199
759.848,0.6247965
763.705,0.6173585
767.5621,0.6096816
771.4193,0.6039255
775.2763,0.5999026
779.1334,0.5951701
782.9905,0.5903502
786.8476,0.587475
790.7047,0.5857335
794.5618,0.5855066
798.4189,0.5817239
802.276,0.5742049
806.1331,0.5658685
809.9902,0.5601624
813.8473,0.5564771
817.7043,0.5536958
821.5615,0.5498294
825.4186,0.54721
829.2756,0.5457892
833.1328,0.5455158
836.9899,0.5455276
840.8469,0.5455477
844.704,0.545497
848.5612,0.5451691
852.4182,0.5437892
856.2753,0.5437812
860.1324,0.5429741
863.9895,0.5424625
867.8466,0.542784
871.7037,0.5437769
875.5608,0.545557
879.4179,0.5475081
883.275,0.5486258
887.1321,0.5503401
890.9892,0.5536858
894.8463,0.5600643
898.7034,0.5701942
902.5605,0.5854905
906.4176,0.599102
910.2747,0.6035805
914.1318,0.6051505
917.9889,0.6100045
921.8459,0.62025
925.7031,0.64318
929.5602,0.6874532
933.4172,0.7310951
937.2744,0.7152307
941.1315,0.6566801
944.9885,0.6143049
948.8456,0.5940048
952.7028,0.5830786
956.5598,0.5770549
960.4169,0.5742685
964.274,0.5745463
968.1311,0.5771013
971.9882,0.5818252
975.8453,0.588354
979.7024,0.5968938
983.5595,0.608623
987.4166,0.6207402
991.2737,0.6307223
995.1308,0.6422219
998.9879,0.6540408
1002.845,0.6644748
1006.702,0.6725321
1010.559,0.6766787
1014.416,0.6764588
1018.273,0.6749713
1022.13,0.6767951
1025.988,0.6820188
1029.845,0.6886665
1033.702,0.6952625
1037.559,0.6991324
1041.416,0.6961456
1045.273,0.684236
1049.13,0.6693864
1052.987,0.6586494
1056.844,0.6530731
1060.701,0.6513373
1064.559,0.6487116
1068.416,0.6389393
1072.273,0.6265647
1076.13,0.6187813
1079.987,0.6163189
1083.844,0.6178682
1087.701,0.6205589
1091.558,0.6223678
1095.415,0.6220325
1099.272,0.621213
1103.13,0.6203325
1106.987,0.6191397
1110.844,0.6179764
1114.701,0.6171243
1118.558,0.616292
1122.415,0.6156501
1126.272,0.6177776
1130.129,0.6278866
1133.986,0.6515853
1137.843,0.6783302
1141.7,0.6889251
1145.558,0.6864995
1149.415,0.6755393
1153.272,0.65764
1157.129,0.642048
1160.986,0.6369164
1164.843,0.6426058
1168.7,0.6582387
1172.557,0.6871488
1176.414,0.7256054
1180.271,0.7506458
1184.129,0.7502946
1187.986,0.7524095
1191.843,0.786288
1195.7,0.8446996
1199.557,0.868598
1203.414,0.8240089
1207.271,0.7615516
1211.128,0.7215465
1214.985,0.7059393
1218.842,0.7098591
1222.699,0.727275
1226.557,0.7361587
1230.414,0.7355679
1234.271,0.7412893
1238.128,0.7505281
1241.985,0.760726
1245.842,0.7738167
1249.699,0.7885948
1253.556,0.804302
1257.413,0.8229055
1261.271,0.846761
1265.128,0.8746186
1268.985,0.9035328
1272.842,0.9253826
1276.699,0.9253065
1280.556,0.8955127
1284.413,0.8500812
1288.27,0.8092413
1292.127,0.7824892
1295.984,0.7688379
1299.841,0.763821
1303.698,0.7604555
1307.556,0.7518839
1311.413,0.7395659
1315.27,0.7290534
1319.127,0.7246978
1322.984,0.7273385
1326.841,0.7331116
1330.698,0.7355932
1334.555,0.7354706
1338.412,0.7384008
1342.27,0.7452775
1346.127,0.7555064
1349.984,0.7703441
1353.841,0.7880337
1357.698,0.8059279
1361.555,0.8250538
1365.412,0.8468246
1369.269,0.8634831
1373.126,0.8642894
1376.983,0.8410345
1380.84,0.8156283
1384.698,0.7978638
1388.555,0.7811064
1392.412,0.7627019
1396.269,0.7442512
1400.126,0.7344059
1403.983,0.7384894
1407.84,0.7599483
1411.697,0.8059914
1415.554,0.8589136
1419.411,0.8658218
1423.269,0.8316234
1427.125,0.8119512
1430.983,0.8117748
1434.84,0.8202269
1438.697,0.823079
1442.554,0.8180789
1446.411,0.8122876
1450.268,0.8145179
1454.125,0.8257189
1457.982,0.8579644
1461.839,0.8910982
1465.697,0.9023072
1469.554,0.8988199
1473.411,0.9109579
1477.268,0.8906816
1481.125,0.8339339
1484.982,0.7881281
1488.839,0.7691054
1492.696,0.7717818
1496.553,0.7844754
1500.41,0.804303
1504.268,0.822338
1508.125,0.8609566
1511.982,0.8963907
1515.839,0.9240803
1519.696,0.9635714
1523.553,1.00595
1527.41,1.034968
1531.267,1.050338
1535.124,1.055187
1538.981,1.048965
1542.838,1.037901
1546.696,1.032363
1550.553,1.025213
1554.41,1.015029
1558.267,0.9936505
1562.124,0.9662731
1565.981,0.9451861
1569.838,0.9110056
1573.695,0.8738645
1577.552,0.8310564
1581.409,0.7999921
1585.267,0.7816939
1589.124,0.771355
1592.981,0.7712052
1596.838,0.7815521
1600.695,0.8030316
1604.552,0.834636
1608.409,0.8694736
1612.266,0.8999421
1616.123,0.9370534
1619.98,0.9789593
1623.837,1.009309
1627.695,1.033673
1631.552,1.044925
1635.409,1.047094
1639.266,1.043727
1643.123,1.039333
1646.98,1.026667
1650.837,1.010788
1654.694,0.9879909
1658.551,0.9722493
1662.408,0.9408394
1666.266,0.8958433
1670.123,0.8324654
1673.98,0.7617283
1677.837,0.7031564
1681.694,0.6529092
1685.551,0.5863723
1689.408,0.5507084
1693.265,0.5337419
1697.122,0.5236777
1700.979,0.5131158
1704.837,0.5078829
1708.694,0.5033799
1712.551,0.5021795
1716.408,0.4998342
1720.265,0.4965458
1724.122,0.4940462
1727.979,0.4943137
1731.836,0.4955436
1735.693,0.4967979
1739.55,0.4942162
1743.407,0.4906822
1747.265,0.485083
1751.122,0.4785869
1754.979,0.4738749
1758.836,0.4713024
1762.693,0.4671463
1766.55,0.4642979
1770.407,0.4627405
1774.264,0.4608494
1778.121,0.4590552
1781.978,0.4587637
1785.836,0.4585568
1789.693,0.4589917
1793.55,0.458695
1797.407,0.4582915
1801.264,0.4578328
1805.121,0.4579058
1808.978,0.4580192
1812.835,0.4578896
1816.692,0.4576826
1820.549,0.4581601
1824.406,0.4586155
1828.264,0.4587386
1832.121,0.4581834
1835.978,0.4582747
1839.835,0.4589061
1843.692,0.4596496
1847.549,0.4590019
1851.406,0.4584971
1855.263,0.4585268
1859.12,0.4591077
1862.977,0.4599294
1866.835,0.4610136
1870.692,0.4610401
1874.549,0.4611302
1878.406,0.4616846
1882.263,0.4623951
1886.12,0.4625427
1889.977,0.4623219
1893.834,0.4618195
1897.691,0.4617817
1901.548,0.4617319
1905.406,0.4615834
1909.263,0.4616542
1913.12,0.4617983
1916.977,0.4623556
1920.834,0.4628408
1924.691,0.4627263
1928.548,0.4628554
1932.405,0.4633607
1936.262,0.4639598
1940.119,0.4648647
1943.976,0.4657512
1947.834,0.4661092
1951.691,0.4666327
1955.548,0.467254
1959.405,0.4679218
1963.262,0.4685509
1967.119,0.4691998
1970.976,0.469573
1974.833,0.4699055
1978.69,0.4703285
1982.547,0.4708439
1986.405,0.4711578
1990.262,0.4714233
1994.119,0.4717116
1997.976,0.4721704
2001.833,0.47288
2005.69,0.4737065
2009.547,0.4741648
2013.404,0.4745086
2017.261,0.4753616
2021.118,0.4761904
2024.975,0.4768144
2028.833,0.4776337
2032.69,0.4783837
2036.547,0.4789347
2040.404,0.479524
2044.261,0.4798314
2048.118,0.4803988
2051.975,0.4810423
2055.832,0.4814298
2059.689,0.4815654
2063.546,0.4814369
2067.404,0.4815564
2071.261,0.4819827
2075.118,0.4824875
2078.975,0.4829736
2082.832,0.4832798
2086.689,0.4837519
2090.546,0.4841171
2094.403,0.4846113
2098.26,0.4851918
2102.117,0.4853879
2105.975,0.4854361
2109.832,0.4853646
2113.689,0.4853678
2117.546,0.4856619
2121.403,0.486189
2125.26,0.4866183
2129.117,0.4869858
2132.974,0.4874068
2136.831,0.488012
2140.688,0.4889856
2144.545,0.4894296
2148.403,0.4896519
2152.26,0.489855
2156.117,0.4899926
2159.974,0.4901542
2163.831,0.4901958
2167.688,0.4899789
2171.545,0.4897811
2175.402,0.4899025
2179.259,0.4904163
2183.116,0.4905871
2186.974,0.4903509
2190.831,0.4901598
2194.688,0.4901285
2198.545,0.4898031
2202.402,0.4894035
2206.259,0.4893689
2210.116,0.4897507
2213.973,0.4901849
2217.83,0.4902783
2221.688,0.4900124
2225.544,0.4900513
2229.402,0.4900931
2233.259,0.4902013
2237.116,0.4903316
2240.973,0.4904848
2244.83,0.4904895
2248.687,0.4903258
2252.544,0.4902822
2256.401,0.4905928
2260.258,0.4909989
2264.115,0.4911566
2267.973,0.4913378
2271.83,0.4915
2275.687,0.4915833
2279.544,0.4918567
2283.401,0.492058
2287.258,0.4919972
2291.115,0.4919178
2294.972,0.4920233
2298.829,0.4922752
2302.687,0.4927539
2306.543,0.4929643
2310.401,0.4933518
2314.258,0.4940804
2318.115,0.4948749
2321.972,0.4954661
2325.829,0.4959803
2329.686,0.4952683
2333.543,0.4951335
2337.4,0.4954073
2341.257,0.4957771
2345.115,0.4957004
2348.972,0.4961337
2352.829,0.4962094
2356.686,0.4968808
2360.543,0.4970944
2364.4,0.4976893
2368.257,0.4978409
2372.114,0.4982243
2375.971,0.4988123
2379.828,0.4994351
2383.686,0.4996129
2387.542,0.4997008
2391.4,0.4996637
2395.257,0.4996334
2399.114,0.4997521
2402.971,0.5000909
2406.828,0.5005668
2410.685,0.5011407
2414.542,0.5013126
2418.399,0.501429
2422.256,0.5017266
2426.114,0.5021731
2429.971,0.5023672
2433.828,0.502549
2437.685,0.5027753
2441.542,0.5032305
2445.399,0.5036849
2449.256,0.5044848
2453.113,0.5055814
2456.97,0.506654
2460.827,0.5076306
2464.685,0.5086765
2468.542,0.5094832
2472.399,0.5104381
2476.256,0.5111592
2480.113,0.5114793
2483.97,0.5117723
2487.827,0.5120503
2491.684,0.5121371
2495.541,0.512091
2499.398,0.5120986
2503.255,0.5124698
2507.113,0.5130734
