"wavenumber","intensity"
674.9918,0.949518
678.8489,0.9582235
682.706,0.9585453
686.5631,0.9626151
690.4202,0.9613219
694.2773,0.9582593
698.1344,0.9576569
701.9915,0.953705
705.8486,0.9486033
709.7057,0.943862
713.5628,0.9393814
717.4199,0.9355877
721.277,0.9335119
725.1341,0.9357535
728.9911,0.9328393
732.8483,0.9218619
736.7054,0.90694
740.5624,0.8927574
744.4196,0.8821058
748.2767,0.8764476
752.1337,0.8720334
755.9908,0.8657401
759.848,0.8583726
763.705,0.8552679
767.5621,0.8515514
771.4193,0.845532
775.2763,0.8417113
779.1334,0.840155
782.9905,0.8360266
786.8476,0.8334143
790.7047,0.8332476
794.5618,0.8333197
798.4189,0.829567
802.276,0.8226799
806.1331,0.8171906
809.9902,0.8139059
813.8473,0.8104748
817.7043,0.8083177
821.5615,0.8064345
825.4186,0.8040206
829.2756,0.8027121
833.1328,0.8030081
836.9899,0.8032819
840.8469,0.8037344
844.704,0.8030493
848.5612,0.80152
852.4182,0.7997317
856.2753,0.797353
860.1324,0.795645
863.9895,0.7953961
867.8466,0.7945003
871.7037,0.7940974
875.5608,0.7942491
879.4179,0.7954171
883.275,0.7972772
887.1321,0.7986526
890.9892,0.7996923
894.8463,0.8039316
898.7034,0.812268
902.5605,0.8238106
906.4176,0.8321165
910.2747,0.8317218
914.1318,0.8303429
917.9889,0.8342277
921.8459,0.8433141
925.7031,0.8601889
929.5602,0.8876645
933.4172,0.9104636
937.2744,0.9014027
941.1315,0.8694042
944.9885,0.8431534
948.8456,0.8274363
952.7028,0.8174904
956.5598,0.8120224
960.4169,0.8074651
964.274,0.8035567
968.1311,0.8007693
971.9882,0.7996042
975.8453,0.8012023
979.7024,0.8050384
983.5595,0.8105302
987.4166,0.814092
991.2737,0.8139299
995.1308,0.8151289
998.9879,0.8178819
1002.845,0.8208048
1006.702,0.8250835
1010.559,0.8294586
1014.416,0.830837
1018.273,0.8305069
1022.13,0.8311243
1025.988,0.8342023
1029.845,0.837888
1033.702,0.844512
1037.559,0.8518735
1041.416,0.8545064
1045.273,0.8524344
1049.13,0.8474159
1052.987,0.844628
1056.844,0.8470019
1060.701,0.8513874
1064.559,0.8526592
1068.416,0.8460982
1072.273,0.8382714
1076.13,0.8351303
1079.987,0.8357121
1083.844,0.8383353
1087.701,0.8408304
1091.558,0.8415682
1095.415,0.842167
1099.272,0.8427684
1103.13,0.8428483
1106.987,0.841894
1110.844,0.8414537
1114.701,0.8430448
1118.558,0.8457911
1122.415,0.8487478
1126.272,0.8535744
1130.129,0.8641885
1133.986,0.8815212
1137.843,0.8972118
1141.7,0.9018883
1145.558,0.9010584
1149.415,0.897474
1153.272,0.8877901
1157.129,0.8789868
1160.986,0.8776355
1164.843,0.8825072
1168.7,0.8915925
1172.557,0.9066732
1176.414,0.9250444
1180.271,0.9355
1184.129,0.9354838
1187.986,0.9376549
1191.843,0.9522909
1195.7,0.9735827
1199.557,0.9793162
1203.414,0.9622409
1207.271,0.939806
1211.128,0.9242602
1214.985,0.9184965
1218.842,0.9216459
1222.699,0.9295232
1226.557,0.9330115
1230.414,0.9327155
1234.271,0.9358175
1238.128,0.9409477
1241.985,0.9460168
1245.842,0.9508246
1249.699,0.9558282
1253.556,0.961367
1257.413,0.9678789
1261.271,0.976078
1265.128,0.9855887
1268.985,0.9945751
1272.842,1.000639
1276.699,0.9981496
1280.556,0.9853101
1284.413,0.9682961
1288.27,0.954496
1292.127,0.9467973
1295.984,0.9424346
1299.841,0.9403101
1303.698,0.9395263
1307.556,0.9358714
1311.413,0.9305168
1315.27,0.9261884
1319.127,0.9244219
1322.984,0.9262346
1326.841,0.9288766
1330.698,0.9295472
1334.555,0.9293979
1338.412,0.9306166
1342.27,0.9347536
1346.127,0.9397712
1349.984,0.9453307
1353.841,0.9510963
1357.698,0.9561566
1361.555,0.9620106
1365.412,0.9696698
1369.269,0.9751919
1373.126,0.9746329
1376.983,0.9663756
1380.84,0.9569363
1384.698,0.9494191
1388.555,0.9423689
1392.412,0.9352196
1396.269,0.9274914
1400.126,0.9253336
1403.983,0.9292387
1407.84,0.9388902
1411.697,0.9575124
1415.554,0.9760144
1419.411,0.9765707
1423.269,0.9646845
1427.125,0.9580716
1430.983,0.9583611
1434.84,0.9621203
1438.697,0.9637626
1442.554,0.9626783
1446.411,0.9602246
1450.268,0.9614514
1454.125,0.9650156
1457.982,0.9758654
1461.839,0.988427
1465.697,0.9906892
1469.554,0.9883168
1473.411,0.9916722
1477.268,0.9844584
1481.125,0.9654266
1484.982,0.9483244
1488.839,0.9412691
1492.696,0.9458648
1496.553,0.9536851
1500.41,0.9626363
1504.268,0.9698377
1508.125,0.9819319
1511.982,0.9953168
1515.839,1.005542
1519.696,1.020222
1523.553,1.035713
1527.41,1.046001
1531.267,1.04901
1535.124,1.047174
1538.981,1.042284
1542.838,1.030666
1546.696,1.023916
1550.553,1.019392
1554.41,1.014459
1558.267,1.005481
1562.124,0.9949301
1565.981,0.9873073
1569.838,0.974706
1573.695,0.9635626
1577.552,0.9515893
1581.409,0.9427727
1585.267,0.9375763
1589.124,0.9349396
1592.981,0.9369594
1596.838,0.9429745
1600.695,0.9529679
1604.552,0.9667122
1608.409,0.9808502
1612.266,0.9929202
1616.123,1.006574
1619.98,1.021944
1623.837,1.035113
1627.695,1.047576
1631.552,1.054308
1635.409,1.052597
1639.266,1.044339
1643.123,1.036087
1646.98,1.020204
1650.837,1.007103
1654.694,0.9920557
1658.551,0.9807459
1662.408,0.9659286
1666.266,0.9477845
1670.123,0.9264809
1673.98,0.9038331
1677.837,0.8826401
1681.694,0.8619149
1685.551,0.8312064
1689.408,0.8126498
1693.265,0.8017215
1697.122,0.7919112
1700.979,0.7835029
1704.837,0.7812845
1708.694,0.7798297
1712.551,0.7798828
1716.408,0.7790744
1720.265,0.7806212
1724.122,0.7818098
1727.979,0.782554
1731.836,0.7827346
1735.693,0.7837135
1739.55,0.7825665
1743.407,0.7795448
1747.265,0.7748148
1751.122,0.7700994
1754.979,0.7673962
1758.836,0.7645732
1762.693,0.7598226
1766.55,0.7562012
1770.407,0.7529505
1774.264,0.7508525
1778.121,0.7504427
1781.978,0.7498847
1785.836,0.7486523
1789.693,0.7472641
1793.55,0.7460972
1797.407,0.7466782
1801.264,0.7469822
1805.121,0.7476857
1808.978,0.7477737
1812.835,0.7481847
1816.692,0.7493771
1820.549,0.7498068
1824.406,0.7490048
1828.264,0.7483896
1832.121,0.7492048
1835.978,0.7505614
1839.835,0.7509309
1843.692,0.750753
1847.549,0.751197
1851.406,0.7523787
1855.263,0.7529894
1859.12,0.7534055
1862.977,0.7537087
1866.835,0.7534927
1870.692,0.7544414
1874.549,0.7566417
1878.406,0.7575377
1882.263,0.7578616
1886.12,0.7580321
1889.977,0.7577767
1893.834,0.7580154
1897.691,0.7584781
1901.548,0.7587069
1905.406,0.758614
1909.263,0.7583507
1913.12,0.7586706
1916.977,0.7587125
1920.834,0.7588544
1924.691,0.7599264
1928.548,0.7609281
1932.405,0.7608518
1936.262,0.7611387
1940.119,0.7611554
1943.976,0.7611621
1947.834,0.7623216
1951.691,0.7631845
1955.548,0.7631376
1959.405,0.763039
1963.262,0.7632261
1967.119,0.7637862
1970.976,0.7642453
1974.833,0.7643897
1978.69,0.7645844
1982.547,0.7647269
1986.405,0.7648042
1990.262,0.7647841
1994.119,0.7651149
1997.976,0.7658247
2001.833,0.7668009
2005.69,0.7668802
2009.547,0.7660112
2013.404,0.765766
2017.261,0.7659979
2021.118,0.7665173
2024.975,0.7672588
2028.833,0.7676295
2032.69,0.768034
2036.547,0.7685217
2040.404,0.7691802
2044.261,0.7700664
