"wavenumber","intensity"
674.9918,1.181548
678.8489,1.224207
682.706,1.256805
686.5631,1.30066
690.4202,1.356424
694.2773,1.425924
698.1344,1.48915
701.9915,1.547588
705.8486,1.593894
709.7057,1.638819
713.5628,1.668686
717.4199,1.681405
721.277,1.693789
725.1341,1.733196
728.9911,1.762701
732.8483,1.788922
736.7054,1.811635
740.5624,1.840771
744.4196,1.870555
748.2767,1.906209
752.1337,1.934156
755.9908,1.966051
759.848,1.996269
763.705,2.028068
767.5621,2.053339
771.4193,2.08435
775.2763,2.112797
779.1334,2.139821
782.9905,2.153693
786.8476,2.161649
790.7047,2.158062
794.5618,2.151941
798.4189,2.141652
802.276,2.140201
806.1331,2.142641
809.9902,2.15673
813.8473,2.168294
817.7043,2.176024
821.5615,2.171689
825.4186,2.174448
829.2756,2.186189
833.1328,2.20701
836.9899,2.224233
840.8469,2.245099
844.704,2.263232
848.5612,2.282511
852.4182,2.296558
856.2753,2.314966
860.1324,2.332749
863.9895,2.354337
867.8466,2.371379
871.7037,2.390786
875.5608,2.409359
879.4179,2.431197
883.275,2.449132
887.1321,2.470106
890.9892,2.485821
894.8463,2.503485
898.7034,2.519205
902.5605,2.536819
906.4176,2.551064
910.2747,2.569668
914.1318,2.587905
917.9889,2.609649
921.8459,2.629338
925.7031,2.651772
929.5602,2.673276
933.4172,2.697244
937.2744,2.718712
941.1315,2.743941
944.9885,2.765233
948.8456,2.788102
952.7028,2.809033
956.5598,2.831277
960.4169,2.851967
964.274,2.873444
968.1311,2.893675
971.9882,2.918247
975.8453,2.94214
979.7024,2.966714
983.5595,2.986765
987.4166,3.007635
991.2737,3.02433
995.1308,3.039972
998.9879,3.05295
1002.845,3.064186
1006.702,3.066386
1010.559,3.063393
1014.416,3.056825
1018.273,3.051946
1022.13,3.047789
1025.988,3.046357
1029.845,3.040707
1033.702,3.03313
1037.559,3.020335
1041.416,3.003425
1045.273,2.985364
1049.13,2.969303
1052.987,2.952717
1056.844,2.935902
1060.701,2.917838
1064.559,2.903946
1068.416,2.894297
1072.273,2.892648
1076.13,2.900613
1079.987,2.92163
1083.844,2.946398
1087.701,2.97477
1091.558,3.007949
1095.415,3.04672
1099.272,3.089454
1103.13,3.137221
1106.987,3.187535
1110.844,3.241283
1114.701,3.299025
1118.558,3.355918
1122.415,3.410585
1126.272,3.467975
1130.129,3.524419
1133.986,3.580229
1137.843,3.638287
1141.7,3.699016
1145.558,3.763181
1149.415,3.828161
1153.272,3.890038
1157.129,3.953383
1160.986,4.016554
1164.843,4.079979
1168.7,4.144682
1172.557,4.203082
1176.414,4.262205
1180.271,4.326732
1184.129,4.393094
1187.986,4.462299
1191.843,4.53136
1195.7,4.589286
1199.557,4.646172
1203.414,4.707878
1207.271,4.761168
1211.128,4.807854
1214.985,4.867074
1218.842,4.92603
1222.699,4.97527
1226.557,5.030819
1230.414,5.095671
1234.271,5.151546
1238.128,5.200039
1241.985,5.239168
1245.842,5.282551
1249.699,5.325624
1253.556,5.337234
1257.413,5.298447
1261.271,5.282872
1265.128,5.340664
1268.985,5.390678
1272.842,5.479245
1276.699,5.590729
1280.556,5.646179
1284.413,5.65144
1288.27,5.652752
1292.127,5.718951
1295.984,5.774908
1299.841,5.81443
1303.698,5.836069
1307.556,5.806606
1311.413,5.711419
1315.27,5.596014
1319.127,5.624506
